PASSENGERS,FREIGHT,MAIL,DISTANCE,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH,CLASS
73.00,0.00,0.00,451.00,Sun Country Airlines d/b/a MN Airlines,11977,"Green Bay, WI",OMA,"Omaha, NE",10,L
73.00,0.00,0.00,451.00,Sun Country Airlines d/b/a MN Airlines,13871,"Omaha, NE",GRB,"Green Bay, WI",3,L
73.00,0.00,0.00,451.00,Sun Country Airlines d/b/a MN Airlines,13871,"Omaha, NE",GRB,"Green Bay, WI",10,L
73.00,0.00,0.00,725.00,United Air Lines Inc.,13342,"Milwaukee, WI",EWR,"Newark, NJ",10,F
73.00,0.00,0.00,780.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,"Hartford, CT",MKE,"Milwaukee, WI",1,L
73.00,0.00,0.00,932.00,SkyWest Airlines Inc.,10721,"Boston, MA",MSN,"Madison, WI",8,F
73.00,13.00,0.00,1032.00,Southwest Airlines Co.,13342,"Milwaukee, WI",AUS,"Austin, TX",1,F
74.00,0.00,0.00,287.00,Endeavor Air Inc.,11977,"Green Bay, WI",DTW,"Detroit, MI",4,F
74.00,0.00,0.00,398.00,Republic Airline,13485,"Madison, WI",CMH,"Columbus, OH",10,F
74.00,0.00,0.00,772.00,Allegiant Air,10408,"Appleton, WI",EWR,"Newark, NJ",9,L
74.00,0.00,0.00,772.00,Allegiant Air,11618,"Newark, NJ",ATW,"Appleton, WI",10,L
74.00,0.00,0.00,1687.00,United Air Lines Inc.,13485,"Madison, WI",LAX,"Los Angeles, CA",8,F
74.00,16140.00,0.00,1739.00,United Air Lines Inc.,14679,"San Diego, CA",MKE,"Milwaukee, WI",5,L
75.00,0.00,0.00,398.00,Republic Airline,11066,"Columbus, OH",MSN,"Madison, WI",10,F
75.00,0.00,0.00,398.00,SkyWest Airlines Inc.,11066,"Columbus, OH",MSN,"Madison, WI",10,F
75.00,0.00,0.00,689.00,Southwest Airlines Co.,14492,"Raleigh/Durham, NC",MKE,"Milwaukee, WI",9,F
75.00,0.00,0.00,745.00,Delta Air Lines Inc.,13342,"Milwaukee, WI",JFK,"New York, NY",4,L
